Ac_No,Age,Years of Experience,Number of Vehicles,Gender,Married,Losses in Thousands,Acct_Open_Dt,Defaulted
150024,24,5,1,M,Married,203.3195946,7/22/2019,12/22/2019
144880,31,10,1,F,Single,402.1973024,7/21/2019,12/21/2019
133742,56,37,1,M,Married,553.1320959,7/20/2019,12/20/2019
151282,52,31,1,F,Married,292.4305792,7/19/2019,12/19/2019
174407,20,3,1,M,Single,246.5405761,7/18/2019,12/18/2019
142548,29,8,1,M,Married,384.6763948,7/17/2019,12/17/2019
183396,36,19,1,F,Single,462.1588562,7/16/2019,12/16/2019
106838,67,49,1,F,Married,168.9340361,7/15/2019,12/15/2019
137434,69,48,1,M,Single,69.89304091,7/14/2019,12/14/2019
192628,16,0,1,F,Single,242.7725761,7/13/2019,12/13/2019
154894,19,1,1,M,Single,763.7298567,7/12/2019,12/12/2019
187293,29,8,1,F,Single,407.3893742,7/11/2019,12/11/2019
173214,20,1,1,F,Married,161.5795211,7/10/2019,12/10/2019
163905,67,49,1,M,Married,242.8887756,7/9/2019,12/9/2019
157356,46,27,1,M,Married,358.521705,7/8/2019,12/8/2019
160387,57,40,1,M,Married,314.6620972,7/7/2019,12/7/2019
127360,65,48,1,M,Single,306.7395011,7/6/2019,12/6/2019
108345,20,1,1,M,Single,772.6448203,7/5/2019,12/5/2019
122164,67,49,1,M,Single,593.4274113,7/4/2019,12/4/2019
103555,62,45,1,M,Married,275.2144091,7/3/2019,12/3/2019
165177,44,27,1,F,Single,472.5998112,7/2/2019,12/2/2019
140896,17,0,1,M,Single,877.0778833,7/1/2019,12/1/2019
197555,29,10,1,F,Single,825.2772277,6/30/2019,11/30/2019
198709,66,49,1,F,Single,273.1567349,6/29/2019,11/29/2019
155134,22,3,1,F,Single,220.6385329,6/28/2019,11/28/2019
104183,33,16,1,M,Single,169.3764585,6/27/2019,11/27/2019
131927,69,48,1,F,Married,98.07355841,6/26/2019,11/26/2019
146242,39,22,1,M,Married,680.1630093,6/25/2019,11/25/2019
138988,41,22,1,F,Married,210.312302,6/24/2019,11/24/2019
102189,20,2,1,F,Married,354.1103301,6/23/2019,11/23/2019
128861,68,49,1,F,Married,155.7208447,6/22/2019,11/22/2019
101564,31,12,1,M,Married,670.8921754,6/21/2019,11/21/2019
105052,30,13,1,M,Single,446.7508297,6/20/2019,11/20/2019
116579,64,47,1,M,Married,109.0263426,6/19/2019,11/19/2019
171608,68,47,1,F,Married,119.7330443,6/18/2019,11/18/2019
171105,49,30,1,M,Single,454.8247336,6/17/2019,11/17/2019
152298,23,4,1,M,Single,845.7592784,6/16/2019,11/16/2019
196222,50,32,1,M,Single,274.3142835,6/15/2019,11/15/2019
197889,39,18,1,F,Single,791.135206,6/14/2019,11/14/2019
109945,35,14,1,F,Single,355.2515755,6/13/2019,11/13/2019
120208,38,20,1,M,Married,522.8312209,6/12/2019,11/12/2019
144803,66,47,1,M,Single,347.0821846,6/11/2019,11/11/2019
167746,58,39,1,F,Single,381.7477309,6/10/2019,11/10/2019
140463,25,6,1,M,Single,747.5273873,6/9/2019,11/9/2019
193913,45,26,1,M,Married,391.2383998,6/8/2019,11/8/2019
193219,48,29,1,M,Married,330.1933096,6/7/2019,11/7/2019
196673,18,1,1,M,Single,904.8401349,6/6/2019,11/6/2019
101665,40,19,1,F,Single,387.4851589,6/5/2019,11/5/2019
152722,17,0,1,M,Married,481.5460256,6/4/2019,11/4/2019
181720,32,12,1,M,Married,178.4623223,6/3/2019,11/3/2019
196090,25,6,1,M,Married,597.4422021,6/2/2019,11/2/2019
137351,56,36,1,M,Single,448.7108596,6/1/2019,11/1/2019
116625,67,47,1,F,Married,218.5837842,5/31/2019,10/31/2019
120268,60,41,1,F,Married,227.6644878,5/30/2019,10/30/2019
181439,60,41,1,F,Single,720.2641611,5/29/2019,10/29/2019
182975,16,0,1,M,Single,950.9628027,5/28/2019,10/28/2019
119576,42,21,1,M,Single,368.9411753,5/27/2019,10/27/2019
101760,20,1,1,F,Married,191.4841522,5/26/2019,10/26/2019
124401,40,19,1,M,Single,503.3720137,5/25/2019,10/25/2019
132104,16,0,1,M,Married,264.7891684,5/24/2019,10/24/2019
185013,70,51,1,M,Single,341.9072784,5/23/2019,10/23/2019
118353,20,3,1,F,Married,204.9823703,5/22/2019,10/22/2019
157903,28,9,1,M,Single,707.3793245,5/21/2019,10/21/2019
114055,28,10,1,F,Single,865.1666105,5/20/2019,10/20/2019
174077,20,2,1,F,Married,435.088519,5/19/2019,10/19/2019
155060,22,3,1,M,Single,1095.601585,5/18/2019,10/18/2019
151384,20,2,1,M,Married,373.3754632,5/17/2019,10/17/2019
127729,64,47,1,M,Married,48.01445411,5/16/2019,10/16/2019
198511,44,25,1,F,Single,447.2328034,5/15/2019,10/15/2019
153908,17,0,1,M,Single,665.4768153,5/14/2019,10/14/2019
169358,22,4,1,M,Married,316.9985022,5/13/2019,10/13/2019
108996,61,40,1,M,Single,388.6544422,5/12/2019,10/12/2019
140129,22,4,1,F,Single,405.6484005,5/11/2019,10/11/2019
198046,60,42,1,F,Single,46.01271223,5/10/2019,10/10/2019
149010,17,0,1,M,Married,354.6611912,5/9/2019,10/9/2019
151476,17,0,1,F,Single,296.8081537,5/8/2019,10/8/2019
136743,63,43,1,F,Single,217.1205792,5/7/2019,10/7/2019
171560,41,20,1,M,Married,375.6052838,5/6/2019,10/6/2019
146306,65,48,1,M,Single,25.88680711,5/5/2019,10/5/2019
111448,26,7,1,F,Married,606.3573767,5/4/2019,10/4/2019
149440,59,42,1,M,Single,351.1678295,5/3/2019,10/3/2019
122855,66,45,1,F,Married,15.5892684,5/2/2019,10/2/2019
162634,29,8,1,M,Single,738.9508303,5/1/2019,10/1/2019
187253,21,2,1,F,Married,183.0600479,4/30/2019,9/30/2019
156505,21,3,1,M,Married,311.353198,4/29/2019,9/29/2019
115303,64,46,1,F,Married,260.2725911,4/28/2019,9/28/2019
157222,36,17,1,F,Married,322.0024982,4/27/2019,9/27/2019
163555,46,27,1,M,Single,596.3227132,4/26/2019,9/26/2019
138553,60,42,1,M,Married,162.3570971,4/25/2019,9/25/2019
185458,25,8,1,M,Married,525.0439169,4/24/2019,9/24/2019
102319,47,30,1,F,Married,329.6301926,4/23/2019,9/23/2019
140871,24,6,1,M,Single,413.8328632,4/22/2019,9/22/2019
132547,40,23,1,M,Married,593.2666445,4/21/2019,9/21/2019
